Region,Total,Alter 0–19,Alter 20–64,Alter 65 und mehr,Mann,Frau,Schweizer,Ausländer ,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetragener Partnerschaft,Aufgelöste Partnerschaft,Städtischer Kernraum,Einflussgebiet Stadt,Ausserhalb des Einflusses städtischer Kerne,Jahr
Nidwalden,42969,7868,26620,8481,22006,20963,36712,6257,18592,19055,1979,3293,4,41,3,16038,5715,21216,2017
Zug,125421,25369,79087,20965,63410,62011,90430,34991,54968,55876,4848,9471,13,225,18,115060,10361,0,2017
Tessin,353709,64769,210041,78899,172505,181204,255122,98587,148100,153870,21396,29849,41,408,43,251864,76000,25845,2017
Schweiz,8419550,1691466,5205025,1523059,4173437,4246113,6318404,2101146,3710349,3585129,406983,699200,597,15324,1730,5282707,1837044,1299799,2016
Genferseeregion,1613522,343884,996126,273512,790573,822949,1074042,539480,734396,661014,73218,140988,166,3292,392,1107433,341044,165045,2016
Waadt,784822,172689,483842,128291,385389,399433,520957,263865,361457,319592,34549,67313,59,1639,183,486030,216920,81872,2016
Wallis,339176,67739,206913,64524,168072,171104,260444,78732,144112,149235,18259,27145,37,325,48,175361,80642,83173,2016
Genf,489524,103456,305371,80697,237112,252412,292641,196883,228827,192187,20410,46530,70,1328,161,446042,43482,0,2016
Espace Mittelland,1859557,372064,1131995,355498,917893,941664,1509290,350267,807879,792454,98294,157791,127,2621,340,932607,495907,431043,2016
Bern,1026513,195733,622339,208441,503789,522724,861614,164899,443834,438530,56089,86136,58,1610,223,537279,228035,261199,2016
Freiburg,311914,70816,193603,47495,156334,155580,242087,69827,141835,131932,13448,24230,34,385,43,103226,128666,80022,2016
Solothurn,269441,51712,166200,51529,134300,135141,210240,59201,112377,118905,14383,23344,15,368,40,162403,69702,37336,2016
Neuenburg,178567,38110,107176,33281,87312,91255,132878,45689,78415,71940,9830,18152,13,191,26,104666,55652,18249,2016
Jura,73122,15693,42677,14752,36158,36964,62471,10651,31418,31147,4544,5929,7,67,8,25033,13852,34237,2016
Nordwestschweiz,1142156,222348,706708,213100,566718,575438,845728,296428,486949,501849,56612,94334,66,2118,210,749305,287018,105833,2016
Basel-Stadt,193070,32634,121641,38795,93212,99858,124026,69044,91119,71579,10856,18773,20,652,66,193070,0,0,2016
Basel-Landschaft,285624,54894,169564,61166,140142,145482,221990,63634,114577,131232,15659,23510,10,589,44,194396,84267,6961,2016
Aargau,663462,134820,415503,113139,333364,330098,499712,163750,281253,299038,30097,52051,36,877,100,361839,202751,98872,2016
Zürich,1487969,293045,943505,251419,739814,748155,1092631,395338,681544,610364,63250,127472,93,4623,555,1146031,331802,10136,2016
Ostschweiz,1162684,233475,716110,213099,582942,579742,898952,263732,495878,513991,58057,93293,53,1273,112,631499,198485,332700,2016
Glarus,40147,7773,24584,7790,20329,19818,30650,9497,16683,17945,2329,3148,2,36,4,30572,0,9575,2016
Schaffhausen,80769,15243,48813,16713,40020,40749,59889,20880,32985,36035,4616,6996,2,125,9,46555,25971,8243,2016
Appenzell A.Rh.,54954,11145,33434,10375,27778,27176,46044,8910,23260,24154,2851,4604,2,80,3,15730,26328,12896,2016
Appenzell I.Rh.,16003,3511,9527,2965,8237,7766,14230,1773,7311,6974,851,853,1,11,2,0,0,16003,2016
St.Gallen,502552,104274,309354,88924,251526,251026,382829,119723,217268,220661,24299,39721,22,519,44,348830,65680,88042,2016
Graubünden,197550,36079,121002,40469,98853,98697,160932,36618,83644,87645,10710,15346,13,169,18,64339,24115,109096,2016
Thurgau,270709,55450,169396,45863,136199,134510,204378,66331,114727,120577,12401,22625,11,333,32,125473,56391,88845,2016
