Kanton,Bevölkerung 1. Januar,Geburten,Todesfälle,Überschuss,Wanderungssaldo international 1,Wanderungssaldo interkantonal,Bevölkerung 31. Dezember,total,%,Jahr,Canton Size (km²),Abbreviation,Total,Alter 0–19,Alter 20–64,Alter 65 und mehr,Mann,Frau,Schweizer,Ausländer ,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetragener Partnerschaft,Aufgelöste Partnerschaft,Städtischer Kernraum,Einflussgebiet Stadt,Ausserhalb des Einflusses städtischer Kerne,BIP in Millionen CHF,BIP Growth Laufende Preise,BIP Growth Preise Vorjahr,BIP pro Kopf
Tessin,350363,2957,3294,-337,2738,-976,351946,1583,0.4518171154,2015,2812,TI,351946,64923,210292,76731,171466,180480,254288,97658,146039,155145,21417,28923,38,344,38,245345,78562,28039,29622.96882,-0.10019,0.7873,84169.07372153683
Waadt,761446,8385,5599,2786,9767,-1069,773407,11961,1.5708270843,2015,3212,VD,773407,170633,476817,125957,379074,394333,513739,259668,353300,318102,34604,65634,51,1533,159,479658,213338,80411,53575.37049,-0.62042,0.69083,69271.89757786004
Wallis,331763,3247,2726,521,2860,766,335696,3933,1.185484819,2015,5224,VS,335696,67347,205413,62936,166426,169270,258612,77084,142216,148810,18126,26148,33,312,35,173187,79551,82958,18196.04959,3.06325,2.37415,54203.951164148515
Neuenburg,177327,1783,1655,128,1573,-820,178107,780,0.4398653335,2015,802,NE,178107,38117,107066,32924,87021,91086,132556,45551,77637,72597,9888,17781,13,169,20,104592,55172,18343,15463.35493,1.82003,3.16137,86820.59060003256
Genf,477385,5388,3405,1983,8309,-1546,484736,7351,1.5398472931,2015,282,GE,484736,102431,302313,79992,234427,250309,287521,197215,224586,192263,20467,45916,62,1294,137,441772,42964,0,50042.25798,-0.53511,0.97635,103236.1078607737
Jura,72410,700,697,3,506,-136,72782,372,0.513741196,2015,838,JU,72782,15787,42474,14521,35965,36817,62361,10421,31049,31348,4538,5773,8,60,6,24922,13762,34098,4665.36113,-1.82246,-0.86722,64100.479926355416
Schweiz,8327126,87883,64964,22919,71030,0,8419550,92424,1.1099147533,2016,41285,CH,8419550,1691466,5205025,1523059,4173437,4246113,6318404,2101146,3710349,3585129,406983,699200,597,15324,1730,5282707,1837044,1299799,677848.33056,1.47333,2.06869,80508.85505282349
Zürich,1466424,17051,10716,6335,14632,2114,1487969,21545,1.4692203619,2016,1729,ZH,1487969,293045,943505,251419,739814,748155,1092631,395338,681544,610364,63250,127472,93,4623,555,1146031,331802,10136,146281.06094,1.13272,1.7484,98309.21271881336
Bern,1017483,10113,9437,676,7684,748,1026513,9030,0.8874841152,2016,5959,BE,1026513,195733,622339,208441,503789,522724,861614,164899,443834,438530,56089,86136,58,1610,223,537279,228035,261199,78336.78608,-0.23849,0.52077,76313.48660952174
Luzern,398762,4265,2844,1421,3375,-270,403397,4635,1.1623474654,2016,1493,LU,403397,82723,251486,69188,200897,202500,329264,74133,183772,173311,18609,27087,23,539,47,212163,45057,146177,26794.83088,1.76085,2.60975,66422.98004199337
Uri,35973,332,348,-16,253,-41,36145,172,0.4781363801,2016,1077,UR,36145,7377,21652,7116,18427,17718,31850,4295,15449,16834,2001,1818,8,32,2,22132,9815,4198,1895.97625,0.59973,0.61521,52454.73094480564
Schwyz,154093,1559,1133,426,921,331,155863,1770,1.1486569799,2016,908,SZ,155863,30881,98333,26649,79852,76011,123597,32266,67605,69135,6974,11948,5,183,11,94847,32888,28128,9313.17952,0.68479,1.2448,59752.3435324612
