valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,prct,inc14d,dataComplete
cases,2013-W06,iso_week,ZH,canton,all,agegroup_ili_ari,all,all,24,1425538,1.68,6.1,3.37,TRUE
cases,2013-W07,iso_week,AG,canton,all,agegroup_ili_ari,all,all,16,636362,2.51,4.3,5.81,TRUE
cases,2013-W07,iso_week,AI,canton,all,agegroup_ili_ari,all,all,0,15778,0,0,0,TRUE
cases,2013-W07,iso_week,AR,canton,all,agegroup_ili_ari,all,all,0,53691,0,0,0,TRUE
cases,2013-W07,iso_week,BE,canton,all,agegroup_ili_ari,all,all,47,1001281,4.69,12.7,9.29,TRUE
cases,2013-W07,iso_week,BL,canton,all,agegroup_ili_ari,all,all,13,278656,4.67,3.5,10.77,TRUE
cases,2013-W07,iso_week,BS,canton,all,agegroup_ili_ari,all,all,30,189335,15.84,8.1,30.63,TRUE
cases,2013-W07,iso_week,CH,country,all,agegroup_ili_ari,all,all,369,8139631,4.53,100,9.35,TRUE
cases,2013-W07,iso_week,CHFL,CHFL,all,agegroup_ili_ari,all,all,369,8176573,4.51,100,9.31,TRUE
cases,2013-W07,iso_week,FL,country,all,agegroup_ili_ari,all,all,0,36942,0,0,0,TRUE
cases,2013-W07,iso_week,FR,canton,all,agegroup_ili_ari,all,all,12,297622,4.03,3.3,8.06,TRUE
cases,2013-W07,iso_week,GE,canton,all,agegroup_ili_ari,all,all,79,469433,16.83,21.4,31.1,TRUE
cases,2013-W07,iso_week,GL,canton,all,agegroup_ili_ari,all,all,0,39593,0,0,7.58,TRUE
cases,2013-W07,iso_week,GR,canton,all,agegroup_ili_ari,all,all,17,194959,8.72,4.6,18.98,TRUE
cases,2013-W07,iso_week,JU,canton,all,agegroup_ili_ari,all,all,1,71738,1.39,0.3,1.39,TRUE
cases,2013-W07,iso_week,LU,canton,all,agegroup_ili_ari,all,all,4,390349,1.02,1.1,2.31,TRUE
cases,2013-W07,iso_week,NE,canton,all,agegroup_ili_ari,all,all,6,176402,3.4,1.6,8.5,TRUE
cases,2013-W07,iso_week,NW,canton,all,agegroup_ili_ari,all,all,1,41888,2.39,0.3,2.39,TRUE
cases,2013-W07,iso_week,OW,canton,all,agegroup_ili_ari,all,all,1,36507,2.74,0.3,2.74,TRUE
cases,2013-W07,iso_week,SG,canton,all,agegroup_ili_ari,all,all,5,491699,1.02,1.4,2.85,TRUE
