,RMSE,lags,seasonal_lags,hidden_layers,alpha,batch_size,activation,learning_rate,exog_lags,grippe_lags,exogenous_lags,grippe_lag
108,0.9068892765766416,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,15.0
109,0.9400771423552116,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,15.0
110,0.92993637403151,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,16.0
111,0.8309090433995076,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,16.0
112,0.9294424979176487,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,17.0
113,0.8593869556653672,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,17.0
114,1.0392624291787216,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,18.0
115,0.862268474599598,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,18.0
116,0.9488987852984113,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,19.0
117,0.910157662331641,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,19.0
118,0.8427220921507493,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,20.0
119,1.0153051349653655,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,20.0
120,0.9858984939458555,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,21.0
121,0.8299077622651169,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,21.0
122,0.8352573962696962,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,22.0
123,0.822046492419635,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,22.0
124,0.8759030762030494,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,23.0
125,0.7807274233708971,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,23.0
126,0.8847174387313655,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,24.0
127,1.1725217229025033,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,24.0
128,0.7915928092291411,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,25.0
129,0.8508842906080508,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,25.0
130,0.9492429874623172,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,26.0
131,0.9320097231998066,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,26.0
132,0.7947200743986435,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,27.0
133,0.7754041212178082,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,27.0
134,0.92464198638174,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,28.0
135,0.9718764602086796,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,28.0
136,0.9897848458938948,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,29.0
137,0.8465689965720626,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,29.0
138,1.0203448180982788,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,30.0
139,0.8419898062480377,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,30.0
140,0.8496797996779781,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,31.0
141,0.853090622884093,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,31.0
142,0.8606159016781051,23,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,32.0
143,0.8684916849976311,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,32.0
144,0.8084075197000269,24,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,15.0
145,0.8044363447394073,24,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,15.0
146,0.8083620181284822,24,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,16.0
147,0.7938882361497196,24,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,16.0
148,0.7870611855063109,24,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,17.0
149,0.7067983272987098,24,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,17.0
150,0.9432814714643993,24,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,18.0
151,0.9691612927840959,24,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,18.0
152,0.7602440146913975,24,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,19.0
153,0.8349900305378534,24,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,19.0
154,0.9178576581525598,24,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,20.0
155,0.8187311313236013,24,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,20.0
156,0.7273499212992175,24,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,21.0
